Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Time [s],0,1200.2,2400.3,3600.5,4800.6,6000.8,7200.9,8401.1,9601.2,10801.4,12001.6,13201.7,14401.9,15602,16802.2,18002.3,19202.5,20402.6,21602.8,22802.9,24003.1,25203.2,26403.4,27603.5,28803.7,30003.8,31204,32404.1,33604.3,34804.4,36004.6,37204.7,38404.9,39605.1,40805.2,42005.4,43205.5,44405.7,45605.8,46806,48006.1,49206.3,50406.4,51606.6,52806.7,54006.9,55207,56407.2,57607.3,58807.5,60007.6,61207.8,62408,63608.1,64808.2
Temp. [°C],27.7,37.6,36.9,37.5,37.3,37.7,37.8,37.1,37.4,37.9,37.3,37.4,37.7,37.3,36.9,36.9,36.8,37.6,37.8,37.5,36.9,37.7,37,37.7,37.2,37,37.6,37.6,37.1,37.8,36.8,37.5,37.7,36.9,37.5,37.6,37,37.6,37.7,36.9,37.5,37.7,36.8,37.3,37.8,37.3,36.9,37.5,36.8,37.7,36.8,37.4,37.7,36.8,37.2
A2,9384,9570,8973,8502,7992,7477,6981,6529,6068,5707,5416,5211,5072,5006,5337,5746,6359,6691,6779,6584,6274,5946,5901,5970,5995,6097,6121,6229,6281,6343,6438,6596,6703,6854,6945,7139,7326,7456,7652,7846,8019,8290,8427,8628,8754,8899,9045,9323,9398,9616,9881,10090,10440,10661,10984
A3,9456,9189,8803,8462,7957,7529,6958,6446,6017,5626,5364,5166,5037,4994,5203,5592,5985,6211,6140,5904,5635,5534,5694,5865,5917,6076,6189,6286,6404,6445,6571,6634,6780,6891,6986,7140,7198,7319,7450,7594,7748,7944,8076,8291,8452,8685,8838,9059,9314,9614,9908,10160,10374,10644,10828
A4,9162,9459,8987,8426,7979,7494,7027,6550,6133,5752,5420,5191,5098,5015,5004,5136,5421,5608,5676,5558,5340,5417,5578,5740,5842,5988,6093,6249,6328,6463,6576,6724,6776,6870,7021,7157,7256,7420,7553,7629,7749,7936,8063,8263,8455,8610,8802,8991,9228,9413,9634,9928,10104,10424,10652
A5,9474,9464,8785,8806,8578,8412,8452,9211,11084,15012,21606,30294,37690,40531,39398,34500,26593,19076,14832,12751,11739,11220,10969,10807,10639,10612,10509,10483,10421,10384,10380,10479,10510,10482,10552,10569,10549,10604,10708,10680,10712,10836,10845,11060,11208,11433,11636,11886,12181,12531,12790,13109,13450,13691,13925
A7,5785,5523,5381,5288,5254,5258,5189,5188,5168,5185,5142,5170,5183,5196,5168,5170,5180,5190,5200,5207,5211,5226,5238,5301,5275,5338,5323,5390,5398,5378,5412,5478,5483,5559,5495,5598,5604,5657,5710,5701,5721,5756,5764,5832,5842,5850,5890,5898,5945,5992,6022,6052,6077,6107,6137
A9,5590,5579,5384,5267,5125,5096,5065,5057,5068,5085,5093,5085,5107,5159,5199,5173,5203,5236,5225,5265,5270,5334,5332,5375,5354,5397,5423,5469,5449,5471,5479,5543,5537,5548,5562,5591,5610,5661,5638,5637,5659,5697,5709,5779,5756,5829,5827,5864,5862,5896,5904,6002,5993,6043,6096
A10,5676,5664,5540,5396,5279,5238,5208,5199,5233,5234,5229,5238,5286,5302,5369,5340,5376,5431,5384,5508,5470,5500,5526,5587,5560,5590,5630,5635,5665,5685,5730,5728,5772,5807,5831,5855,5896,5883,5941,5965,6012,6021,6021,6090,6116,6121,6128,6156,6174,6264,6295,6334,6371,6428,6444
A11,5675,5525,5450,5371,5273,5183,5119,5121,5125,5140,5151,5169,5187,5230,5258,5255,5299,5305,5307,5342,5342,5410,5390,5471,5485,5463,5508,5532,5542,5532,5561,5622,5634,5614,5639,5664,5705,5707,5761,5799,5861,5880,5863,5892,5946,5958,5952,5958,5985,6056,6054,6118,6173,6246,6251
B2,9592,9291,8831,8752,8601,8560,8791,9747,11913,15957,22808,30898,36831,39383,37864,32937,26155,19369,14895,12711,11628,10980,10726,10492,10281,10259,10202,10175,10006,9893,9670,9620,9670,9653,9694,9700,9823,9929,10016,10007,10092,10206,10255,10527,10747,10950,11222,11455,11764,12031,12281,12506,12675,12772,13166
B3,10198,9336,8762,8453,8022,7620,7137,6642,6161,5732,5359,5124,4948,4889,5092,5314,5522,5522,5327,5264,5373,5426,5527,5584,5667,5743,5810,5932,5973,5988,6075,6167,6221,6277,6325,6471,6560,6678,6759,6880,7060,7250,7409,7604,7736,7901,8090,8376,8557,8772,8943,9074,9255,9440,9645
B4,9619,9351,8857,8428,8081,7602,7137,6690,6281,5849,5446,5199,5030,4910,4913,5080,5332,5396,5226,4958,5028,5229,5323,5482,5549,5700,5797,5916,6001,6133,6192,6342,6424,6511,6543,6704,6750,6842,7015,7105,7152,7261,7326,7499,7572,7728,7881,8020,8206,8386,8525,8684,8880,9117,9279
B5,9337,9591,9005,8511,8104,7687,7219,6778,6316,5848,5504,5158,4943,4824,4778,4803,5026,5147,5102,4950,4892,5188,5257,5389,5504,5608,5723,5801,5878,5999,6086,6195,6268,6321,6429,6526,6622,6714,6816,6857,6942,7094,7200,7340,7477,7615,7784,7943,8137,8315,8510,8688,8838,9044,9251
B9,6259,6181,5912,5780,5668,5585,5514,5524,5572,5526,5570,5554,5579,5620,5649,5634,5679,5691,5696,5734,5766,5761,5768,5816,5809,5847,5835,5863,5888,5876,5858,5873,5889,5889,5876,5907,5939,5941,5995,5968,6010,6067,6067,6074,6064,6123,6147,6138,6170,6221,6293,6283,6333,6358,6406
B10,5618,5514,5352,5240,5128,5095,5072,5100,5075,5088,5116,5096,5103,5147,5190,5201,5205,5249,5229,5302,5306,5279,5330,5348,5356,5367,5389,5424,5444,5446,5430,5491,5515,5506,5505,5586,5580,5631,5665,5653,5724,5746,5792,5813,5792,5864,5843,5896,5929,5981,5976,6030,6075,6087,6108
