Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Time [s],0,1200.7,2400.9,3601,4801.1,6001.4,7201.4,8401.6,9601.7,10802,12002.1,13202.2,14402.4,15602.5,16802.7,18002.8,19203,20403.1,21603.3,22803.4,24003.7,25203.7,26403.9,27604,28804.2,30004.3,31204.5,32404.6,33604.9,34804.9,36005.1,37205.2,38405.5,39605.6,40805.7,42005.9,43206,44406.2,45606.3,46806.6,48006.6,49206.8,50406.9,51607.2,52807.2,54007.4,55207.5,56407.7,57607.8,58808,60008.2,61208.4,62408.5,63608.6,64808.8
Temp. [°C],24.9,36.6,37.6,36.9,37.7,36.8,36.8,37.5,37,37.2,37.7,37,37.7,37.7,37.3,37.3,37.2,37.8,37.3,37.7,37.4,36.7,37.5,36.9,37.1,37.6,37.3,36.9,37.6,36.8,37.4,37.7,36.8,37.5,37.6,36.9,37.5,37.5,36.9,37.5,37.6,36.9,37.4,37.7,36.8,37,37.4,37.7,37.3,37.1,37.3,37.7,36.8,37.4,37.7
A2,0.129800007,0.138500005,0.150299996,0.171499997,0.188099995,0.206699997,0.228799999,0.258399993,0.299600005,0.340900004,0.394400001,0.465999991,0.533999979,0.586399972,0.618300021,0.651799977,0.714699984,0.784600019,0.872799993,0.957199991,1.07980001,1.219599962,1.244899988,1.275599957,1.308099985,1.345499992,1.382400036,1.406599998,1.426900029,1.444399953,1.459699988,1.47179997,1.485399961,1.49059999,1.491400003,1.489599943,1.483399987,1.478999972,1.469300032,1.459200025,1.450399995,1.450600028,1.451699972,1.453299999,1.449900031,1.44659996,1.448400021,1.44599998,1.450700045,1.446699977,1.456799984,1.454599977,1.448899984,1.440299988,1.414299965
A3,0.144600004,0.145600006,0.158800006,0.1778,0.193499997,0.216999993,0.241300002,0.268299997,0.297899991,0.337000012,0.388900012,0.470999986,0.558099985,0.603100002,0.622300029,0.658699989,0.71509999,0.756600022,0.837300003,0.914799988,1.025500059,1.177999973,1.255499959,1.264000058,1.273499966,1.287999988,1.307299972,1.322999954,1.341899991,1.367699981,1.387199998,1.398399949,1.405799985,1.410699964,1.411399961,1.408499956,1.410099983,1.403100014,1.395099998,1.381100059,1.377500057,1.372799993,1.371799946,1.366700053,1.357599974,1.351199985,1.343899965,1.333699942,1.334900022,1.29610002,1.270799994,1.281800032,1.278499961,1.269199967,1.281900048
A4,0.1329,0.138699993,0.147400007,0.165299997,0.185699999,0.202500001,0.221900001,0.245199993,0.274800003,0.308899999,0.344399989,0.404700011,0.525300026,0.57950002,0.591600001,0.616299987,0.654699981,0.687300026,0.756600022,0.824999988,0.938199997,1.123700023,1.162299991,1.18659997,1.208999991,1.235299945,1.25940001,1.27760005,1.305600047,1.326900005,1.351099968,1.373800039,1.383100033,1.392099977,1.396700025,1.395900011,1.395900011,1.394099951,1.393900037,1.389400005,1.377400041,1.365200043,1.364300013,1.361500025,1.359300017,1.355900049,1.350900054,1.350499988,1.347599983,1.34070003,1.330600023,1.312299967,1.287099957,1.266800046,1.25880003
A5,0.131699994,0.1347,0.143900007,0.167999998,0.187099993,0.207800001,0.2289,0.256199986,0.289499998,0.328599989,0.384600013,0.453299999,0.550599992,0.6329,0.68809998,0.762399971,0.824800014,0.907500029,0.9903,1.040300012,1.070700049,1.077499986,1.099400043,1.134799957,1.152400017,1.176499963,1.207900047,1.238399982,1.258399963,1.274399996,1.272199988,1.281800032,1.29369998,1.295799971,1.300300002,1.27699995,1.268100023,1.269099951,1.271700025,1.267400026,1.280099988,1.281700015,1.286599994,1.286499977,1.281000018,1.286200047,1.289999962,1.292500019,1.277199984,1.255100012,1.236199975,1.223199964,1.172299981,1.164499998,1.175400019
A7,0.090400003,0.090099998,0.090000004,0.089900002,0.089900002,0.090000004,0.090099998,0.090300001,0.090899996,0.091600001,0.092900001,0.094899997,0.098200001,0.103699997,0.111599997,0.114600003,0.128800005,0.137400001,0.146899998,0.155200005,0.162599996,0.171599999,0.177599996,0.186000004,0.194900006,0.203799993,0.212200001,0.223800004,0.229699999,0.236000001,0.241899997,0.244000003,0.256999999,0.263700008,0.271899998,0.279700011,0.289099991,0.297399998,0.299199998,0.306499988,0.311699986,0.315899998,0.322299987,0.319400012,0.330799997,0.328999996,0.329600006,0.332199991,0.340600014,0.34040001,0.342799991,0.343300015,0.354799986,0.359800011,0.365700006
A9,0.139599994,0.144299999,0.150000006,0.166999996,0.182500005,0.196400002,0.204400003,0.215399995,0.225999996,0.238600001,0.249200001,0.255600005,0.263500005,0.274199992,0.288199991,0.3028,0.315800011,0.324299991,0.338999987,0.350800008,0.360300004,0.369599998,0.376399994,0.382499993,0.390100002,0.396600008,0.400999993,0.412800014,0.421900004,0.426400006,0.433999985,0.441100001,0.448100001,0.457700014,0.46540001,0.471399993,0.481900007,0.490099996,0.496899992,0.504199982,0.513000011,0.519699991,0.528800011,0.532400012,0.540499985,0.551699996,0.559899986,0.566799998,0.575500011,0.5801,0.584599972,0.591899991,0.596700013,0.606700003,0.610000014
A10,0.161500007,0.164399996,0.184900001,0.194299996,0.200399995,0.210800007,0.221699998,0.233199999,0.247700006,0.252999991,0.260600001,0.272799999,0.28580001,0.29429999,0.305999994,0.318800002,0.328999996,0.341100007,0.34920001,0.360199988,0.367000014,0.379999995,0.388300002,0.393000007,0.400000006,0.406699985,0.411799997,0.423000008,0.429699987,0.436100006,0.444499999,0.451400012,0.460700005,0.466199994,0.476599991,0.488099992,0.495299995,0.504899979,0.511399984,0.523199975,0.529399991,0.539600015,0.547999978,0.554499984,0.562399983,0.573700011,0.582899988,0.589999974,0.601400018,0.611199975,0.617600024,0.627499998,0.640200019,0.646200001,0.659600019
A11,0.106899999,0.1061,0.112099998,0.124300003,0.132100001,0.143700004,0.153099999,0.163299993,0.1708,0.177599996,0.187000006,0.197799996,0.209000006,0.219799995,0.229800001,0.233400002,0.240700006,0.256599993,0.269800007,0.284399986,0.294699997,0.307099998,0.320199996,0.330000013,0.338499993,0.34799999,0.356299996,0.366699994,0.379900008,0.381900012,0.389299989,0.395500004,0.400599986,0.4111,0.415899992,0.426899999,0.433699995,0.446200013,0.453999996,0.460900009,0.469799995,0.481900007,0.496800005,0.504400015,0.516700029,0.531199992,0.543200016,0.556200027,0.565800011,0.575900018,0.585600019,0.594900012,0.603900015,0.611699998,0.618600011
